name,profile_url,place_of_birth,longitude,latitude,popularity
Dean Stockwell,https://www.themoviedb.org/person/923,North Hollywood Los Angeles California USA,-118.3740371,34.1729044,138.83386996613814
Paul Guilfoyle,https://www.themoviedb.org/person/925,Boston Massachusetts USA,-71.060511,42.3554334,206.45777911125535
Ola Ray,https://www.themoviedb.org/person/926,St. Louis Missouri USA,-90.1995853,38.6264256,20.130393972023096
Rebecca Ferratti,https://www.themoviedb.org/person/928,Helena Montana USA,-112.036277,46.5927425,39.667627888314485
Tomas Arana,https://www.themoviedb.org/person/941,Auburn California USA,-121.0739897,38.8945939,1545.0727607947404
Danny Aiello,https://www.themoviedb.org/person/1004,Manhattan New York City New York USA,-73.9598939,40.7896239,271.11626531385264
Peter Appel,https://www.themoviedb.org/person/1005,New York City New York USA,-74.0060152,40.7127281,279.0740593660737
Willi One Blood,https://www.themoviedb.org/person/1006,New York New York U.S.A.,0.0,0.0,80.44622151421746
Don Creech,https://www.themoviedb.org/person/1007,New York New York U.S.A.,0.0,0.0,245.02647745471592
Keith A. Glascoe,https://www.themoviedb.org/person/1008,San Francisco California USA,-122.419906,37.7790262,79.43719655798799
Randolph Scott,https://www.themoviedb.org/person/1009,Orange County Virginia USA,-78.013983,38.2490349,34.523500675283515
Michael Badalucco,https://www.themoviedb.org/person/1010,Brooklyn New York U.S.,-74.00358170193994,40.659732399999996,238.5735848430073
Cybill Shepherd,https://www.themoviedb.org/person/1036,Memphis Tennessee USA,-90.0516285,35.1490215,949.2351872183551
Harvey Keitel,https://www.themoviedb.org/person/1037,Brooklyn New York USA,-73.9497211,40.6526006,8463.375016956183
Jodie Foster,https://www.themoviedb.org/person/1038,Los Angeles California USA,-118.242766,34.0536909,1628.9353430370306
Peter Boyle,https://www.themoviedb.org/person/1039,Norristown Pennsylvania USA,-75.3399048,40.121497,950.667685167793
Diahnne Abbott,https://www.themoviedb.org/person/1041,New York City New York USA,-74.0060152,40.7127281,105.00783010562152
Robinson Frank Adu,https://www.themoviedb.org/person/1042,White Plains New York USA,-73.7629097,41.0339862,212.28600159114268
Christopher Lloyd,https://www.themoviedb.org/person/1062,Stamford Connecticut USA,-73.5387341,41.0534302,1318.1397872221432
Lea Thompson,https://www.themoviedb.org/person/1063,Rochester Minnesota USA,-92.4630182,44.0234387,286.9314724067141
Crispin Glover,https://www.themoviedb.org/person/1064,New York City New York USA,-74.0060152,40.7127281,443.4226463322805
Thomas F. Wilson,https://www.themoviedb.org/person/1065,Philadelphia Pennsylvania USA,-75.1635262,39.9527237,332.30751870182684
Marc McClure,https://www.themoviedb.org/person/1067,San Mateo California U.S.,0.0,0.0,408.18318653625664
Wendie Jo Sperber,https://www.themoviedb.org/person/1068,Hollywood California USA,-118.329523,34.0980031,201.30698225649655
George DiCenzo,https://www.themoviedb.org/person/1069,New Haven - Connecticut - USA,-72.9250518,41.3082138,134.75517278323005
Frances Lee McCain,https://www.themoviedb.org/person/1070,York Pennsylvania USA,-76.727707,39.9624624,353.3826308580704
James Tolkan,https://www.themoviedb.org/person/1072,Calumet Michigan USA,-88.454006,47.246592,307.1703850576866
Carl Weathers,https://www.themoviedb.org/person/1101,New Orleans Louisiana USA,-90.0782127,29.9759983,1905.402948765685
Bill Duke,https://www.themoviedb.org/person/1103,Poughkeepsie New York USA,-73.9283672,41.7065539,720.7368909123338
Jesse Ventura,https://www.themoviedb.org/person/1104,Minneapolis - Minnesota - USA,-93.2654692,44.9772995,203.934957196801
Sonny Landham,https://www.themoviedb.org/person/1105,Canton Georgia USA,-84.4367202,34.1693221,259.2565425105683
Richard Chaves,https://www.themoviedb.org/person/1106,Jacksonville Florida USA,-81.655651,30.3321838,376.6548130366589
R. G. Armstrong,https://www.themoviedb.org/person/1107,Birmingham Alabama USA,-86.8024326,33.5206824,71.98386013828429
Kevin Peter Hall,https://www.themoviedb.org/person/1109,Pittsburgh Pennsylvania USA,-80.6243098,40.3693889,139.2647107659445
Dennis Farina,https://www.themoviedb.org/person/1117,Chicago Illinois USA,-87.6244212,41.8755616,465.83376503690744
